Vendedor,ID,Title,Price,Currency,Category URL,Details URL,partner-name,Date,timestamp,image_url
556,135685668,Sainsbury's Halloween Light Up Bucket,5.00,EURO,https://www.sainsburys.co.uk/shop/gb/groceries/halloween--/trick-or-treat-?fromMegaNav=1,https://www.sainsburys.co.uk/shop/gb/groceries/trick-or-treat-/halloween-light-up-bucket,Sainsbury's,2019-10-04,2019-10-04 21:02:06,https://www.sainsburys.co.uk/wcsstore7.41.2/SainsburysStorefrontAssetStore/wcassets/product_images/GM/media_135657270_L.jpg
556,7985517,Soreen Scream Chocolate & Blood Orange Mini Loaves x5 150g,1.00,EURO,https://www.sainsburys.co.uk/shop/gb/groceries/halloween--/trick-or-treat-?fromMegaNav=1,https://www.sainsburys.co.uk/shop/gb/groceries/trick-or-treat-/soreen-lunchbox-choc-orange-x5,Sainsbury's,2019-10-04,2019-10-04 21:02:06,https://www.sainsburys.co.uk/wcsstore7.41.2/ExtendedSitesCatalogAssetStore/images/catalog/productImages/98/5018735225198/5018735225198_L.jpeg
556,7811112,Cadbury Heroes Chocolate Treatsize Bag 225g,1.50,EURO,https://www.sainsburys.co.uk/shop/gb/groceries/halloween--/trick-or-treat-?fromMegaNav=1,https://www.sainsburys.co.uk/shop/gb/groceries/trick-or-treat-/cadbury-hereos-friends-bag-225g,Sainsbury's,2019-10-04,2019-10-04 21:02:06,https://www.sainsburys.co.uk/wcsstore7.41.2/ExtendedSitesCatalogAssetStore/images/catalog/productImages/01/7622210322401/7622210322401_L.jpeg
556,7168088,Haribo Maoam Stripes Chewy Sweets Bag 170g,1.30,EURO,https://www.sainsburys.co.uk/shop/gb/groceries/halloween--/trick-or-treat-?fromMegaNav=1,https://www.sainsburys.co.uk/shop/gb/groceries/trick-or-treat-/haribo-maoam-stripes-180g,Sainsbury's,2019-10-04,2019-10-04 21:02:06,https://www.sainsburys.co.uk/wcsstore7.41.2/ExtendedSitesCatalogAssetStore/images/catalog/productImages/29/5012035952129/5012035952129_L.jpeg
556,7153397,Maltesers Fairtrade Chocolate Fun Size 195g,1.60,EURO,https://www.sainsburys.co.uk/shop/gb/groceries/halloween--/trick-or-treat-?fromMegaNav=1,https://www.sainsburys.co.uk/shop/gb/groceries/trick-or-treat-/maltesers-funsize-195g,Sainsbury's,2019-10-04,2019-10-04 21:02:06,https://www.sainsburys.co.uk/wcsstore7.41.2/ExtendedSitesCatalogAssetStore/images/catalog/productImages/69/5000159477369/5000159477369_L.jpeg
556,7153391,Mars Chocolate Fun Size Bars Multipack 13 x 18g,1.60,EURO,https://www.sainsburys.co.uk/shop/gb/groceries/halloween--/trick-or-treat-?fromMegaNav=1,https://www.sainsburys.co.uk/shop/gb/groceries/trick-or-treat-/mars-funsize-250g,Sainsbury's,2019-10-04,2019-10-04 21:02:06,https://www.sainsburys.co.uk/wcsstore7.41.2/ExtendedSitesCatalogAssetStore/images/catalog/productImages/13/4011100001213/4011100001213_L.jpeg
556,6832011,Mars Variety Chocolate Fun Size Bag 358g,2.50,EURO,https://www.sainsburys.co.uk/shop/gb/groceries/halloween--/trick-or-treat-?fromMegaNav=1,https://www.sainsburys.co.uk/shop/gb/groceries/trick-or-treat-/mars-variety-mix-fun-size-397g,Sainsbury's,2019-10-04,2019-10-04 21:02:06,https://www.sainsburys.co.uk/wcsstore7.41.2/ExtendedSitesCatalogAssetStore/images/catalog/productImages/83/5000159477383/5000159477383_L.jpeg
556,7153388,Milky Way Chocolate Bar Treat Size x14 227g,1.60,EURO,https://www.sainsburys.co.uk/shop/gb/groceries/halloween--/trick-or-treat-?fromMegaNav=1,https://www.sainsburys.co.uk/shop/gb/groceries/trick-or-treat-/milky-way-funsize-227g,Sainsbury's,2019-10-04,2019-10-04 21:02:06,https://www.sainsburys.co.uk/wcsstore7.41.2/ExtendedSitesCatalogAssetStore/images/catalog/productImages/65/5000159473965/5000159473965_L.jpeg
556,7899444,Munchies Chocolate Big Sharing Bag 246g,2.00,EURO,https://www.sainsburys.co.uk/shop/gb/groceries/halloween--/trick-or-treat-?fromMegaNav=1,https://www.sainsburys.co.uk/shop/gb/groceries/trick-or-treat-/munchies-chocolate-big-sharing-bag-246g,Sainsbury's,2019-10-04,2019-10-04 21:02:06,https://www.sainsburys.co.uk/wcsstore7.41.2/SainsburysStorefrontAssetStore/wcassets/product_images/2019/August/media_7899444_L.jpg
556,7793267,Sainsbury's Mini Assorted Chocolate Bars x25 421g,2.50,EURO,https://www.sainsburys.co.uk/shop/gb/groceries/halloween--/trick-or-treat-?fromMegaNav=1,https://www.sainsburys.co.uk/shop/gb/groceries/trick-or-treat-/sainsburys-25-assorted-mini-chocolate-bars-421g,Sainsbury's,2019-10-04,2019-10-04 21:02:06,https://www.sainsburys.co.uk/wcsstore7.41.2/ExtendedSitesCatalogAssetStore/images/catalog/productImages/26/0000000233026/0000000233026_L.jpeg
556,7921758,Skittles Sweet Heat Sweets 196g,1.00,EURO,https://www.sainsburys.co.uk/shop/gb/groceries/halloween--/trick-or-treat-?fromMegaNav=1,https://www.sainsburys.co.uk/shop/gb/groceries/trick-or-treat-/skittles-sweet-heat-sweets-196g,Sainsbury's,2019-10-04,2019-10-04 21:02:06,https://www.sainsburys.co.uk/wcsstore7.41.2/ExtendedSitesCatalogAssetStore/images/catalog/productImages/17/4009900529617/4009900529617_L.jpeg
556,7594114,Swizzels Party Mix Sweets Tub 840g,4.00,EURO,https://www.sainsburys.co.uk/shop/gb/groceries/halloween--/trick-or-treat-?fromMegaNav=1,https://www.sainsburys.co.uk/shop/gb/groceries/trick-or-treat-/swizzels-party-mix-tub-840g-7594114-p-44,Sainsbury's,2019-10-04,2019-10-04 21:02:06,https://www.sainsburys.co.uk/wcsstore7.41.2/ExtendedSitesCatalogAssetStore/images/catalog/productImages/59/5010478523159/5010478523159_L.jpeg
